ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi,kategorije,mechanic
Dice Forge,194594,2017,2,4,45,45,10,7.32901,10267,"['Ancient', 'Dice', 'Fantasy', 'Mythology']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Dice Rolling']"

Ticket to Ride: Nordic Countries,31627,2007,2,3,30,60,8,7.6387,10239,['Trains'],"['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"

Lords of Waterdeep: Scoundrels of Skullport,134342,2013,2,6,60,60,12,8.21892,10237,"['City Building', 'Expansion for Base-game', 'Fantasy']","['Card Drafting', 'Commodity Speculation', 'Set Collection', 'Worker Placement']"

Yahtzee,2243,1956,2,10,30,30,6,5.34089,10207,"[""Children's Game"", 'Comic Book \\/ Strip', 'Dice', 'Movies \\/ TV \\/ Radio theme', 'Music', 'Sports']","['Dice Rolling', 'Paper-and-Pencil', 'Push Your Luck', 'Re-rolling and Locking', 'Set Collection']"

Jungle Speed,8098,1997,2,8,10,10,7,6.52916,10152,"['Action \\/ Dexterity', 'Card Game', 'Party Game', 'Real-time']",['Pattern Recognition']

Spot it!,63268,2009,2,8,15,15,7,6.661,10097,"['Card Game', ""Children's Game"", 'Educational', 'Party Game', 'Real-time', 'Sports']",['Pattern Recognition']

Crokinole,521,1876,2,4,30,30,8,7.82151,10041,['Action \\/ Dexterity'],"['Flicking', 'Team-Based Game']"

Champions of Midgard,172287,2015,2,4,60,90,10,7.78143,9998,"['Adventure', 'Dice', 'Fantasy', 'Fighting', 'Medieval', 'Mythology']","['Card Drafting', 'Dice Rolling', 'Set Collection', 'Variable Player Powers', 'Worker Placement with Dice Workers']"

Welcome to the Dungeon,150312,2013,2,4,30,30,10,6.65017,9997,"['Bluffing', 'Card Game', 'Fantasy', 'Fighting']","['Memory', 'Player Elimination', 'Push Your Luck']"

In the Year of the Dragon,31594,2007,2,5,75,100,12,7.38038,9985,"['Economic', 'Medieval']","['Events', 'Hand Management', 'Variable Phase Order']"

HeroQuest,699,1989,2,5,90,90,10,7.11214,9984,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Modular Board', 'Role Playing', 'Roll \\/ Spin and Move']"

Targi,118048,2012,2,2,60,60,12,7.61628,9970,"['Arabian', 'Card Game']","['Modular Board', 'Set Collection', 'Turn Order: Progressive', 'Worker Placement']"

Jenga,2452,1983,1,8,20,20,6,5.5916,9926,"['Action \\/ Dexterity', 'Party Game']",['Stacking and Balancing']

Summoner Wars: Master Set,93260,2011,2,4,30,60,9,7.54357,9883,"['Card Game', 'Fantasy', 'Fighting']","['Dice Rolling', 'Grid Movement', 'Hand Management', 'Variable Player Powers']"

A Game of Thrones (First Edition),6472,2003,3,5,180,180,12,7.24009,9880,"['Bluffing', 'Fantasy', 'Negotiation', 'Novel-based', 'Political', 'Wargame']","['Area Movement', 'Auction\\/Bidding', 'Events', 'Hand Management', 'Memory', 'Order Counters']"

Potion Explosion,180974,2015,2,4,30,45,8,7.18119,9844,"['Fantasy', 'Puzzle']","['Pattern Recognition', 'Set Collection', 'Take That']"

SET,1198,1988,2,20,30,30,6,6.49091,9809,"['Card Game', 'Puzzle', 'Real-time']","['Pattern Recognition', 'Set Collection']"

Axis &amp; Allies,98,1981,2,5,180,180,12,6.56002,9796,"['Economic', 'Wargame', 'World War II']","['Area Movement', 'Dice Rolling', 'Minimap Resolution', 'Stat Check Resolution', 'Team-Based Game']"

Tobago,42215,2009,2,4,60,60,10,7.12528,9745,"['Adventure', 'Deduction', 'Exploration']","['Grid Movement', 'Hand Management', 'Modular Board', 'Push Your Luck']"

Thunderstone,53953,2009,1,5,60,60,12,6.95847,9743,"['Card Game', 'Fantasy', 'Fighting']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"

Legendary Encounters: An Alien Deck Building Game,146652,2014,1,5,30,60,17,7.78233,9732,"['Card Game', 'Fighting', 'Horror', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction']","['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Player Elimination', 'Solo \\/ Solitaire Game', 'Team-Based Game']"

Blood Bowl: Team Manager – The Card Game,90137,2011,2,4,90,90,14,7.37844,9658,"['Card Game', 'Fantasy', 'Fighting', 'Sports']","['Area Majority \\/ Influence', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Hand Management']"

Inis,155821,2016,2,4,60,90,14,7.79527,9606,"['Card Game', 'Miniatures', 'Mythology']","['Area Majority \\/ Influence', 'Area Movement', 'Card Drafting', 'Hand Management', 'Modular Board', 'Variable Phase Order']"

King of Tokyo: Power Up!,127067,2012,2,6,30,30,8,7.64526,9574,"['Dice', 'Expansion for Base-game', 'Movies \\/ TV \\/ Radio theme', 'Science Fiction']","['Dice Rolling', 'Variable Player Powers']"

Age of Empires III: The Age of Discovery,22545,2007,2,5,90,120,10,7.55304,9565,"['Civilization', 'Exploration', 'Renaissance', 'Video Game Theme']","['Area Majority \\/ Influence', 'Set Collection', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']"

War of the Ring (First Edition),9609,2004,2,4,120,120,12,7.77394,9559,"['Adventure', 'Fantasy', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']","['Action Points', 'Area Majority \\/ Influence', 'Area Movement', 'Campaign \\/ Battle Card Driven', 'Dice Rolling', 'Hand Management']"

Firefly: The Game,138161,2013,1,4,120,240,13,7.39179,9502,"['Movies \\/ TV \\/ Radio theme', 'Science Fiction', 'Space Exploration', 'Travel']","['Area Movement', 'Card Drafting', 'Dice Rolling', 'Pick-up and Deliver', 'Take That', 'Trading']"

Ca$h &#039;n Gun$,19237,2005,4,6,30,30,10,6.60103,9460,"['Bluffing', 'Card Game', 'Fighting', 'Humor', 'Mafia', 'Negotiation']","['Player Elimination', 'Simultaneous Action Selection', 'Variable Player Powers']"

Ticket to Ride: USA 1910,24439,2006,2,5,30,60,8,8.00475,9438,"['Expansion for Base-game', 'Trains']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"

Grand Austria Hotel,182874,2015,2,4,60,120,12,7.78624,9382,['Economic'],"['Action Drafting', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Set Collection']"

Carcassonne: The River,2591,2001,2,5,30,45,8,6.98502,9381,"['City Building', 'Expansion for Base-game', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Tile Placement']"

Quadropolis,176396,2016,2,4,30,60,8,7.33106,9360,"['City Building', 'Environmental']","['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']"

Imhotep,191862,2016,2,4,40,40,10,7.21953,9300,['Ancient'],"['Area Majority \\/ Influence', 'Modular Board', 'Set Collection']"

Mombasa,172386,2015,2,4,75,150,12,7.91595,9276,['Economic'],"['Action Queue', 'Area Majority \\/ Influence', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Simultaneous Action Selection']"

Taboo,1111,1989,4,10,20,20,12,6.28262,9268,"['Party Game', 'Real-time', 'Word Game']",['Team-Based Game']

Codenames: Duet,224037,2017,2,4,15,30,11,7.66925,9263,"['Card Game', 'Deduction', 'Spies\\/Secret Agents', 'Word Game']","['Communication Limits', 'Cooperative Game', 'Push Your Luck', 'Team-Based Game']"

The Game of Life,2921,1960,2,6,60,60,8,4.25847,9214,"[""Children's Game"", 'Economic']","['Roll \\/ Spin and Move', 'Simulation']"

Bruges,136888,2013,2,4,60,60,10,7.44809,9196,"['Card Game', 'City Building', 'Economic', 'Renaissance']","['Dice Rolling', 'Hand Management']"

Hero Realms,198994,2016,2,4,20,30,12,7.65588,9164,"['Card Game', 'Fantasy', 'Fighting']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Take That']"

Welcome To...,233867,2018,1,100,25,25,10,7.65625,9149,['City Building'],"['Paper-and-Pencil', 'Pattern Building']"

Fury of Dracula (Third/Fourth Edition),181279,2015,2,5,120,180,14,7.55492,9142,"['Adventure', 'Deduction', 'Fighting', 'Horror', 'Novel-based']","['Hidden Movement', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']"

Race for the Galaxy: The Gathering Storm,34499,2008,1,5,60,60,12,8.08753,9138,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Simultaneous Action Selection', 'Variable Phase Order', 'Variable Player Powers']"

Steam,27833,2009,3,5,90,90,10,7.61726,9062,"['Economic', 'Trains', 'Transportation']","['Auction\\/Bidding', 'Loans', 'Network and Route Building', 'Pick-up and Deliver', 'Tile Placement']"

Charterstone,197376,2017,1,6,45,75,14,7.55325,9061,"['City Building', 'Economic', 'Medieval']","['Card Drafting', 'Hand Management', 'Legacy Game', 'Worker Placement']"

Labyrinth,1219,1986,2,4,20,20,8,6.3899,9049,"[""Children's Game"", 'Maze', 'Puzzle']","['Modular Board', 'Network and Route Building', 'Point to Point Movement', 'Tile Placement']"

Arboretum,140934,2015,2,4,30,30,8,7.41354,9041,"['Bluffing', 'Card Game']","['Hand Management', 'Set Collection', 'Tile Placement']"

Ora et Labora,70149,2011,1,4,60,180,13,7.71237,9040,"['City Building', 'Economic', 'Industry \\/ Manufacturing', 'Medieval', 'Religious', 'Territory Building']","['Increase Value of Unchosen Resources', 'Modular Board', 'Network and Route Building', 'Worker Placement', 'Worker Placement, Different Worker Types']"

BattleLore,25417,2006,2,2,60,60,10,7.37011,8962,"['Fantasy', 'Medieval', 'Miniatures', 'Wargame']","['Campaign \\/ Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Modular Board']"

Small World Underground,97786,2011,2,5,30,90,8,7.29275,8954,"['Fantasy', 'Fighting', 'Territory Building']","['Area Majority \\/ Influence', 'Area Movement', 'Dice Rolling', 'Variable Player Powers']"

PitchCar,150,1995,2,8,30,30,6,7.24141,8883,"['Action \\/ Dexterity', ""Children's Game"", 'Party Game', 'Racing', 'Sports']","['Flicking', 'Modular Board', 'Race']"

7 Wonders: Cities,111661,2012,2,8,40,40,10,7.84651,8881,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']","['Card Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Team-Based Game', 'Variable Player Powers']"

The Werewolves of Miller&#039;s Hollow,25821,2001,8,18,30,30,10,6.77503,8822,"['Bluffing', 'Deduction', 'Horror', 'Murder\\/Mystery', 'Party Game']","['Player Elimination', 'Role Playing', 'Team-Based Game', 'Variable Player Powers', 'Voting']"

Eminent Domain,68425,2011,2,4,45,45,10,7.08111,8806,"['Card Game', 'Civilization', 'Science Fiction', 'Space Exploration']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Follow', 'Hand Management', 'Variable Phase Order']"

Viticulture,128621,2013,2,6,90,90,13,7.63541,8806,"['Economic', 'Farming']","['Hand Management', 'Turn Order: Progressive', 'Worker Placement']"

Endeavor,33160,2009,3,5,90,90,12,7.4252,8791,"['Exploration', 'Nautical', 'Renaissance']","['Area Majority \\/ Influence', 'Card Drafting', 'Hand Management', 'Set Collection']"

Fury of Dracula (Second Edition),20963,2005,2,5,180,180,10,7.14234,8769,"['Adventure', 'Deduction', 'Fighting', 'Horror', 'Novel-based']","['Dice Rolling', 'Point to Point Movement', 'Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']"

Architects of the West Kingdom,236457,2018,1,5,60,80,12,7.87084,8703,"['City Building', 'Medieval']","['Action Drafting', 'Drafting', 'Variable Player Powers', 'Worker Placement']"

Thebes,30869,2007,2,4,60,60,8,7.14697,8680,"['Ancient', 'Exploration', 'Travel']","['Point to Point Movement', 'Set Collection', 'Time Track']"

At the Gates of Loyang,39683,2009,1,4,60,120,10,7.38427,8659,"['Economic', 'Farming']","['Card Drafting', 'Contracts', 'Set Collection']"

Roll Player,169426,2016,1,4,60,90,10,7.52256,8612,"['Dice', 'Fantasy']","['Card Drafting', 'Dice Rolling', 'Set Collection', 'Variable Player Powers']"

The Quacks of Quedlinburg,244521,2018,2,4,45,45,10,7.72667,8579,['Medieval'],"['Catch the Leader', 'Deck, Bag, and Pool Building', 'Push Your Luck']"

Twilight Imperium (Fourth Edition),233078,2017,3,6,240,480,14,8.69079,8558,"['Civilization', 'Economic', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration']","['Area Majority \\/ Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Modular Board']"

The Manhattan Project,63628,2012,2,5,120,120,13,7.40762,8545,"['Aviation \\/ Flight', 'Economic', 'Fighting', 'Industry \\/ Manufacturing', 'Negotiation', 'World War II']","['Drafting', 'Race', 'Take That', 'Worker Placement', 'Worker Placement, Different Worker Types']"

Discworld: Ankh-Morpork,91312,2011,2,4,60,60,11,7.21795,8529,"['City Building', 'Fantasy', 'Novel-based']","['Area Majority \\/ Influence', 'Dice Rolling', 'Hand Management', 'Take That', 'Variable Player Powers']"

Ticket to Ride: Märklin,21348,2006,2,5,30,60,8,7.4048,8416,"['Trains', 'Transportation']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Point to Point Movement', 'Set Collection']"

Poker,1115,1810,2,10,60,60,12,6.6948,8358,"['Bluffing', 'Card Game']","['Betting and Bluffing', 'Player Elimination', 'Set Collection']"

Bora Bora,127060,2013,2,4,60,120,12,7.56696,8358,['Dice'],"['Dice Rolling', 'Set Collection', 'Worker Placement', 'Worker Placement with Dice Workers']"

Between Two Cities,168435,2015,1,7,25,25,8,7.05238,8339,"['City Building', 'Negotiation']","['Card Drafting', 'Highest-Lowest Scoring', 'Set Collection', 'Simultaneous Action Selection', 'Solo \\/ Solitaire Game', 'Tile Placement']"

Anachrony,185343,2017,1,4,30,120,15,8.12475,8334,"['Economic', 'Science Fiction']","['Solo \\/ Solitaire Game', 'Variable Player Powers', 'Worker Placement', 'Worker Placement, Different Worker Types']"

Pandemic Legacy: Season 2,221107,2017,2,4,60,60,14,8.22079,8327,"['Environmental', 'Exploration', 'Medical']","['Cooperative Game', 'Hand Management', 'Legacy Game', 'Pick-up and Deliver', 'Point to Point Movement', 'Set Collection']"

Last Will,97842,2011,2,5,45,75,14,7.20686,8321,"['Card Game', 'Economic', 'Humor']","['Action Points', 'Hand Management', 'Worker Placement']"

Flamme Rouge,199478,2016,2,4,30,45,8,7.58385,8303,"['Racing', 'Sports']","['Hand Management', 'Modular Board', 'Race', 'Simulation', 'Simultaneous Action Selection']"

Mascarade,139030,2013,2,13,30,30,10,6.64213,8295,"['Bluffing', 'Medieval', 'Party Game']","['Memory', 'Variable Player Powers']"

Pandemic: The Cure,150658,2014,2,5,30,30,8,7.32582,8269,"['Dice', 'Environmental', 'Medical']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Push Your Luck', 'Set Collection']"

Lanterns: The Harvest Festival,160851,2015,2,4,30,30,8,6.95099,8249,"['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']","['Hand Management', 'Pattern Building', 'Set Collection', 'Tile Placement']"

Euphoria: Build a Better Dystopia,133848,2013,2,6,60,60,13,7.28131,8240,['Science Fiction'],"['Dice Rolling', 'Hand Management', 'Race', 'Set Collection', 'Variable Player Powers', 'Worker Placement']"

Nexus Ops,15363,2005,2,4,90,90,12,7.22842,8208,"['Exploration', 'Fighting', 'Science Fiction', 'Wargame']","['Area Majority \\/ Influence', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Take That']"

Glen More,66362,2010,2,5,45,70,10,7.33557,8197,"['City Building', 'Economic', 'Farming']","['Commodity Speculation', 'Dice Rolling', 'Grid Movement', 'Rondel', 'Set Collection', 'Tile Placement']"

Amun-Re,5404,2003,3,5,90,90,12,7.32903,8196,"['Ancient', 'Economic']","['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Auction: Fixed Placement', 'Constrained Bidding']"

Brass: Birmingham,224517,2018,2,4,60,120,14,8.61432,8193,"['Economic', 'Industry \\/ Manufacturing', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees \\/ Tech Tracks']"

Glass Road,143693,2013,1,4,20,80,13,7.45488,8185,"['City Building', 'Economic', 'Medieval']","['Card Drafting', 'Set Collection', 'Simultaneous Action Selection', 'Tile Placement', 'Variable Phase Order']"

Arcadia Quest,155068,2014,2,4,60,60,13,7.78357,8153,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Take That', 'Variable Player Powers']"

Torres,88,1999,2,4,60,60,12,7.1493,8145,"['Abstract Strategy', 'Medieval']","['Action Points', 'Area Majority \\/ Influence', 'Enclosure', 'Grid Movement', 'Hand Management', 'Square Grid']"

Abyss,155987,2014,2,4,30,60,14,7.30245,8142,"['Card Game', 'Fantasy', 'Mythology', 'Science Fiction']","['Auction\\/Bidding', 'Card Drafting', 'Hand Management', 'Push Your Luck', 'Set Collection']"

Fairy Tale,13823,2004,2,5,30,30,10,6.7452,8134,"['Card Game', 'Fantasy']","['Card Drafting', 'Drafting', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']"

Pickomino,15818,2005,2,7,20,20,8,6.55051,8116,"['Animals', 'Dice']","['Dice Rolling', 'Push Your Luck']"

Bärenpark,219513,2017,2,4,30,45,8,7.36039,8108,"['Animals', 'Puzzle']","['Card Drafting', 'Grid Coverage', 'Set Collection', 'Tile Placement']"

1960: The Making of the President,27708,2007,2,2,90,120,12,7.59556,8104,['Political'],"['Action\\/Event', 'Area Majority \\/ Influence', 'Campaign \\/ Battle Card Driven', 'Hand Management']"

Colosseum,27746,2007,3,5,60,90,10,7.22031,8083,"['Ancient', 'Negotiation']","['Auction\\/Bidding', 'Dice Rolling', 'Roll \\/ Spin and Move', 'Set Collection', 'Trading']"

That&#039;s Pretty Clever,244522,2018,1,4,30,30,8,7.64481,8083,['Dice'],"['Dice Rolling', 'Paper-and-Pencil']"

Carcassonne: Expansion 3 – The Princess &amp; The Dragon,15158,2005,2,6,60,60,13,6.74604,8082,"['City Building', 'Expansion for Base-game', 'Fantasy', 'Medieval', 'Territory Building']","['Area Majority \\/ Influence', 'Tile Placement']"

K2,73761,2010,1,5,30,60,8,7.09669,8071,"['Exploration', 'Sports']","['Hand Management', 'Player Elimination', 'Point to Point Movement', 'Simultaneous Action Selection', 'Solo \\/ Solitaire Game']"

Las Vegas,117959,2012,2,5,30,30,8,7.11543,8012,['Dice'],"['Area Majority \\/ Influence', 'Dice Rolling']"

Imperial,24181,2006,2,6,120,180,13,7.61554,7987,"['Economic', 'Nautical', 'Political']","['Advantage Token', 'Area Majority \\/ Influence', 'Area Movement', 'Ownership', 'Rondel', 'Stock Holding']"

Dungeons &amp; Dragons: Castle Ravenloft Board Game,59946,2010,1,5,60,60,12,6.97511,7943,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Variable Player Powers']"

Cranium,891,1998,4,16,60,60,13,5.68302,7912,"['Party Game', 'Puzzle', 'Trivia', 'Word Game']","['Acting', 'Line Drawing', 'Paper-and-Pencil', 'Roll \\/ Spin and Move', 'Singing', 'Team-Based Game']"

Harry Potter: Hogwarts Battle,199042,2016,2,4,30,60,11,7.49403,7880,"['Card Game', 'Fantasy', 'Movies \\/ TV \\/ Radio theme', 'Novel-based']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Variable Player Powers']"

Condottiere,112,1995,2,6,45,45,14,6.8013,7776,"['Bluffing', 'Card Game', 'Medieval', 'Negotiation']","['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Hand Management']"

Loopin&#039; Louie,327,1992,2,4,10,10,4,6.81379,7761,"['Action \\/ Dexterity', 'Animals', 'Aviation \\/ Flight', ""Children's Game"", 'Electronic', 'Movies \\/ TV \\/ Radio theme']",['Player Elimination']

Jambo,12002,2004,2,2,45,45,12,7.02564,7755,"['Card Game', 'Economic']","['Action Points', 'Hand Management', 'Set Collection']"

Paperback,141572,2014,2,5,45,45,8,7.24056,7738,"['Card Game', 'Print & Play', 'Word Game']","['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building']"

Pirate&#039;s Cove,2987,2002,3,5,60,90,8,6.58055,7719,"['Adventure', 'Fighting', 'Nautical', 'Pirates']","['Dice Rolling', 'Hand Management', 'Pick-up and Deliver', 'Simultaneous Action Selection']"

Deep Sea Adventure,169654,2014,2,6,30,30,8,7.06928,7680,"['Dice', 'Exploration', 'Nautical', 'Party Game']","['Pick-up and Deliver', 'Push Your Luck', 'Roll \\/ Spin and Move']"

Dinosaur Island,221194,2017,1,4,90,120,8,7.81417,7679,"['Economic', 'Science Fiction']","['Action Points', 'Dice Rolling', 'Set Collection', 'Tile Placement', 'Worker Placement']"

Pit,140,1903,3,8,30,90,7,6.38861,7662,"['Card Game', 'Economic', 'Party Game', 'Real-time']","['Set Collection', 'Trading']"

Mission: Red Planet (Second Edition),176920,2015,2,6,45,90,14,7.49836,7659,['Science Fiction'],"['Action Retrieval', 'Area Majority \\/ Influence', 'Hand Management', 'Simultaneous Action Selection']"

Dominion: Alchemy,66098,2010,2,4,30,30,13,6.94737,7657,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management']"

Elysium,163968,2015,2,4,60,60,14,7.25949,7614,"['Ancient', 'Card Game', 'Mythology']","['Card Drafting', 'Set Collection']"

Vikings,27173,2007,2,4,60,60,10,7.26197,7610,"['Economic', 'Medieval', 'Nautical', 'Territory Building']","['Auction\\/Bidding', 'Auction: Dutch', 'Rondel', 'Tile Placement']"

Cuba,30380,2007,2,5,75,120,10,7.15797,7604,"['Economic', 'Farming']","['Auction\\/Bidding', 'Hand Management', 'Market', 'Variable Phase Order', 'Voting']"

The Gallerist,125153,2015,1,4,60,150,13,8.0219,7597,['Economic'],"['Commodity Speculation', 'Set Collection', 'Worker Placement']"

Commands &amp; Colors: Ancients,14105,2006,2,2,60,60,12,7.77984,7581,"['Ancient', 'Wargame']","['Campaign \\/ Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Hand Management', 'Hexagon Grid', 'Modular Board']"

Elfenland,10,1998,2,6,60,60,10,6.72717,7549,"['Fantasy', 'Travel']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Point to Point Movement']"

Age of Steam,4098,2002,1,6,120,120,13,7.70183,7546,"['Economic', 'Trains', 'Transportation']","['Auction\\/Bidding', 'Catch the Leader', 'Dice Rolling', 'Loans', 'Network and Route Building', 'Player Elimination']"

Kahuna,394,1998,2,2,30,40,10,6.64887,7530,['Abstract Strategy'],"['Area Majority \\/ Influence', 'Card Drafting', 'Hand Management', 'Network and Route Building', 'Take That']"

Runebound (Second Edition),21523,2005,2,6,120,240,12,6.88397,7529,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Area Movement', 'Card Drafting', 'Dice Rolling', 'Role Playing', 'Variable Player Powers']"

Shadow Hunters,24068,2005,4,8,45,45,13,6.82944,7525,"['Adventure', 'Bluffing', 'Card Game', 'Deduction', 'Horror', 'Party Game']","['Dice Rolling', 'Player Elimination', 'Team-Based Game', 'Variable Player Powers']"

Heroscape Master Set: Rise of the Valkyrie,11170,2004,2,4,90,90,8,7.42946,7522,"['Adventure', 'Fantasy', 'Fighting', 'Miniatures', 'Science Fiction']","['Dice Rolling', 'Grid Movement', 'Line of Sight', 'Modular Board']"

Yspahan,22345,2006,2,4,45,60,8,7.09791,7519,"['Dice', 'Economic']","['Action Drafting', 'Area Majority \\/ Influence', 'Dice Rolling']"

Once Upon a Time: The Storytelling Card Game,1234,1993,2,6,30,30,8,6.43364,7513,"['Card Game', 'Humor', 'Party Game', 'Real-time']","['Hand Management', 'Storytelling', 'Voting']"

Formula Dé,173,1991,2,10,120,120,10,6.9891,7505,"['Racing', 'Sports']","['Different Dice Movement', 'Grid Movement', 'Player Elimination', 'Push Your Luck', 'Race', 'Roll \\/ Spin and Move']"

Qwixx,131260,2012,2,5,15,15,8,6.88607,7504,['Dice'],"['Dice Rolling', 'Paper-and-Pencil']"

Navegador,66589,2010,2,5,60,90,12,7.55903,7496,"['Economic', 'Exploration', 'Nautical', 'Renaissance']","['Advantage Token', 'Area Movement', 'Rondel']"

Ethnos,206718,2017,2,6,45,60,14,7.50714,7484,['Fantasy'],"['Area Majority \\/ Influence', 'Card Drafting', 'Hand Management', 'Set Collection']"

Niagara,13308,2004,3,5,30,45,8,6.50688,7478,['Nautical'],"['Hand Management', 'Pick-up and Deliver', 'Set Collection', 'Simultaneous Action Selection']"

Scattergories,2381,1988,2,6,30,30,12,6.16016,7466,"['Party Game', 'Real-time', 'Word Game']","['Dice Rolling', 'Paper-and-Pencil']"

Red November,36946,2008,1,8,60,120,13,6.32263,7463,"['Fantasy', 'Humor', 'Nautical']","['Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Time Track']"

Ricochet Robots,51,1999,1,99,30,30,10,7.00275,7425,"['Abstract Strategy', 'Maze', 'Puzzle', 'Real-time']","['Grid Movement', 'Modular Board']"

Battleship,2425,1931,2,2,30,30,8,4.60706,7421,"[""Children's Game"", 'Deduction', 'Nautical', 'Wargame']","['Paper-and-Pencil', 'Secret Unit Deployment']"

Monopoly Deal Card Game,40398,2008,2,5,15,15,8,6.26263,7411,"['Card Game', 'Economic']","['Hand Management', 'Set Collection', 'Take That']"

Mystery of the Abbey,915,1995,3,6,60,90,10,6.54448,7399,"['Deduction', 'Medieval', 'Murder\\/Mystery', 'Religious']","['Area Movement', 'Hand Management', 'Paper-and-Pencil', 'Set Collection']"

TransAmerica,2842,2001,2,6,30,30,13,6.66313,7399,['Trains'],['Network and Route Building']

Runewars,59294,2010,2,4,180,240,14,7.65509,7389,"['Adventure', 'Fantasy', 'Fighting', 'Wargame']","['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Grid Movement', 'Modular Board', 'Simultaneous Action Selection', 'Variable Player Powers']"

Chinatown,47,1999,3,5,60,60,12,7.28444,7363,"['City Building', 'Economic', 'Negotiation']","['Set Collection', 'Tile Placement', 'Trading']"

Cribbage,2398,1630,2,4,30,30,10,7.04052,7336,['Card Game'],['Hand Management']

BANG! The Bullet!,30933,2007,3,8,20,40,8,6.94158,7302,"['American West', 'Bluffing', 'Card Game', 'Deduction', 'Fighting', 'Humor']","['Hand Management', 'Player Elimination', 'Take That', 'Team-Based Game', 'Variable Player Powers']"

Blue Moon City,21882,2006,2,4,60,60,10,7.0478,7291,"['City Building', 'Fantasy']","['Area Majority \\/ Influence', 'Grid Movement', 'Hand Management', 'Modular Board', 'Set Collection']"

Oh My Goods!,183840,2015,2,4,30,30,10,7.01033,7261,"['Card Game', 'Economic', 'Medieval']","['Action Queue', 'Hand Management', 'Push Your Luck', 'Set Collection']"

Teotihuacan: City of Gods,229853,2018,1,4,90,120,12,7.96671,7237,['Ancient'],"['Area Movement', 'Point to Point Movement', 'Rondel', 'Set Collection', 'Tile Placement', 'Variable Player Powers']"

Cartagena,826,2000,2,5,45,45,8,6.6883,7231,"['Pirates', 'Racing']","['Hand Management', 'Modular Board', 'Race']"

Bananagrams,27225,2006,1,8,15,15,7,6.3562,7214,"['Real-time', 'Word Game']",['Tile Placement']

